Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Total Current Expenditures - Salary (Z32) per Pupil (V33) [District Finance] 2016-17
ALLENTOWN CITY SD,Pennsylvania,4202280,6715
ALLIANCE ACADEMY OF CINCINNATI,Ohio,3900130,0
ALLIANCE CITY,Ohio,3904349,6599
ALLIANCE COMMUNITY SCHOOLS INC. DBA DAYTON LEADERSHIP ACADE,Ohio,3900083,5621
ALLIANCE FOR PROGRESS CS,Pennsylvania,4200039,5716
ALLIANCE PUBLIC SCHOOLS,Nebraska,3102910,5489
ALLOWAY TWP SCHOOL DISTRICT,New Jersey,3400810,8128
ALMA CENTER SCHOOL DISTRICT,Wisconsin,5500210,6411
ALMA D'ARTE CHARTER,New Mexico,3500116,6074
ALMA DEL MAR CHARTER SCHOOL (DISTRICT),Massachusetts,2500525,7275
ALMA PUBLIC SCHOOLS,Michigan,2602640,5006
ALMA PUBLIC SCHOOLS,Nebraska,3100080,8217
ALMA SCHOOL DISTRICT,Wisconsin,5500180,7572
ALMA SCHOOL DISTRICT,Arkansas,502250,5472
ALMIRA SCHOOL DISTRICT,Washington,5300090,10982
ALMOND-BANCROFT SCHOOL DISTRICT,Wisconsin,5500240,6758
ALMONT COMMUNITY SCHOOLS,Michigan,2602670,4313
ALOMA D JOHNSON CHARTER SCHOOL,New York,3600970,0
ALPAUGH UNIFIED,California,602010,3053
ALPENA PUBLIC SCHOOLS,Michigan,2602730,4738
ALPENA SCHOOL DISTRICT,Arkansas,502280,5063
ALPENA-MONTMORENCY-ALCONA ESD,Michigan,2680120,†
ALPHA ACADEMY,North Carolina,3700103,2990
ALPHA BOROUGH SCHOOL DISTRICT,New Jersey,3400840,10254
ALPHA CHARTER SCHOOL,Texas,4800185,1018
ALPINE COUNTY OFFICE OF EDUCATION,California,691058,†
ALPINE COUNTY UNIFIED,California,602070,21438
ALPINE DISTRICT,Utah,4900030,3404
ALPINE ELEMENTARY DISTRICT (4161),Arizona,400630,7479
ALPINE ISD,Texas,4807950,7347
ALPINE PUBLIC SCHOOL DISTRICT,New Jersey,3400870,17848
ALPINE UNION ELEMENTARY,California,602100,5768
ALSEA SD 7J,Oregon,4101200,9500
ALSIP-HAZLGRN-OAKLWN SD 126,Illinois,1703480,6961
ALT ED PRGM/BEHAV DISORD YOUTH/MONTGOMERY,Virginia,5100078,†
ALTA LOMA ELEMENTARY,California,602160,5570
ALTA VISTA ELEMENTARY,California,602220,6477
ALTA-AURELIA COMM SCHOOL DISTRICT,Iowa,1903480,6630
ALTA-DUTCH FLAT UNION ELEMENTARY,California,602250,7115
ALTAMONT CUSD 10,Illinois,1703510,6118
ALTAR VALLEY ELEMENTARY DISTRICT (4418),Arizona,404770,4007
ALTENBURG 48,Missouri,2903040,6515
ALTERNATIVE EDUCATION ACADEMY,Ohio,3900203,0
ALTERNATIVE EDUCATIONAL ACADEMY OF IOSCO COUNTY,Michigan,2601034,0
ALTERNATIVE EDUCATIONAL ACADEMY OF OGEMAW COUNTY,MICHIGAN,2601092,0
ALTERNATIVES ACADEMY/JOURNEYS,Nebraska,3100173,†
ALTMAR-PARISH-WILLIAMSTOWN CENTRAL SCHOOL DISTRICT,New York,3602820,11922
ALTO ISD,Texas,4807980,6317
ALTON CUSD 11,Illinois,1703600,5622
ALTON R-IV,Missouri,2903060,5680
ALTON SAU OFFICE,New Hampshire,3300020,†
ALTON SCHOOL DISTRICT,New Hampshire,3301440,6219
ALTOONA AREA SD,Pennsylvania,4202340,6334
ALTOONA SCHOOL DISTRICT,Wisconsin,5500270,6113
ALTOONA-MIDWAY,Kansas,2004170,8104
ALTURAS INTERNATIONAL ACADEMY INC.,IDAHO,1600175,2449
ALTUS,Oklahoma,4002850,4082
ALUM ROCK UNION ELEMENTARY,California,602310,7043
ALVA,Oklahoma,4002880,6127
ALVARADO ISD,Texas,4800011,5449
